Nome Instancia,Solucao otima TSP,Solucao GRASP TSP,Tempo GRASP TSP,Solucao TSPD
singlecenter-alpha_3-17-n6,543.35,543.35,0.0,698.77
singlecenter-alpha_3-18-n6,451.08,451.08,0.0,691.99
singlecenter-alpha_3-19-n6,298.65,298.65,0.0,525.71
singlecenter-alpha_3-2-n5,301.24,301.24,0.0,395.40
singlecenter-alpha_3-20-n6,230.97,230.97,0.0,302.08
singlecenter-alpha_3-21-n7,373.05,373.05,0.0,670.17
singlecenter-alpha_3-22-n7,361.74,361.74,0.0,460.52
singlecenter-alpha_3-23-n7,158.69,158.69,0.0,211.59
singlecenter-alpha_3-24-n7,297.91,297.91,0.0,450.70
singlecenter-alpha_3-25-n7,357.36,357.36,0.0,331.74
singlecenter-alpha_3-26-n7,199.88,199.88,0.0,282.25
singlecenter-alpha_3-27-n7,288.22,288.22,0.0,498.95
singlecenter-alpha_3-28-n7,326.38,326.38,0.0,522.80
singlecenter-alpha_3-29-n7,360.9,360.9,0.0,580.18
singlecenter-alpha_3-3-n5,107.2,107.2,0.0,121.53
singlecenter-alpha_3-30-n7,302.97,302.97,0.0,449.36
singlecenter-alpha_3-31-n8,262.5,262.5,0.0,363.64
singlecenter-alpha_3-32-n8,186.44,186.44,0.0,273.05
singlecenter-alpha_3-33-n8,354.38,354.38,0.0,443.40
singlecenter-alpha_3-34-n8,410.44,410.44,0.0,575.99
singlecenter-alpha_3-35-n8,338.05,338.05,0.0,506.19
singlecenter-alpha_3-36-n8,394.59,394.59,0.0,485.22
singlecenter-alpha_3-37-n8,268.19,268.19,0.0,397.22
singlecenter-alpha_3-38-n8,508.21,508.21,0.0,514.09
singlecenter-alpha_3-39-n8,343.29,343.29,0.0,491.45
singlecenter-alpha_3-4-n5,247.62,247.62,0.0,245.73
singlecenter-alpha_3-40-n8,375.52,375.52,0.0,609.40
singlecenter-alpha_3-41-n9,237.83,237.83,0.0,468.94
singlecenter-alpha_3-42-n9,566.41,566.41,0.0,941.03
singlecenter-alpha_3-43-n9,355.44,355.44,0.0,459.98
singlecenter-alpha_3-44-n9,368.25,368.25,0.0,513.91
singlecenter-alpha_3-45-n9,410.12,410.12,0.0,684.73
singlecenter-alpha_3-46-n9,384.39,384.39,0.0,476.27
singlecenter-alpha_3-47-n9,472.0,472.0,0.0,717.84
singlecenter-alpha_3-48-n9,361.17,365.63,0.0,418.73
singlecenter-alpha_3-49-n9,506.41,506.41,0.01,759.90
singlecenter-alpha_3-5-n5,248.93,248.93,0.0,323.38
singlecenter-alpha_3-50-n9,367.1,367.1,0.0,395.33
singlecenter-alpha_3-6-n5,354.47,354.47,0.0,469.19
singlecenter-alpha_3-7-n5,227.21,227.21,0.0,439.25
singlecenter-alpha_3-8-n5,152.82,152.82,0.0,216.80
singlecenter-alpha_3-9-n5,248.36,248.36,0.0,373.10
uniform-1-n5,313.23,313.23,0.0,446.68
uniform-10-n5,276.29,276.29,0.0,476.92
uniform-11-n6,262.63,262.63,0.0,450.81
uniform-12-n6,332.32,332.32,0.0,489.33
uniform-13-n6,240.42,240.42,0.0,405.32
uniform-14-n6,239.08,239.08,0.0,370.95
uniform-15-n6,213.02,213.02,0.0,323.75
uniform-16-n6,272.92,272.92,0.0,459.98
uniform-17-n6,302.02,302.02,0.0,544.59
uniform-18-n6,238.25,238.14,0.0,431.20
uniform-19-n6,269.17,269.17,0.0,437.41
uniform-2-n5,261.48,261.48,0.0,458.89
uniform-20-n6,265.03,265.03,0.0,393.40
uniform-21-n7,270.69,270.69,0.0,502.43
uniform-22-n7,249.96,249.96,0.0,450.91
uniform-23-n7,277.2,277.2,0.0,473.30
uniform-24-n7,287.51,287.51,0.0,290.09
uniform-25-n7,291.35,291.35,0.0,489.88
uniform-26-n7,242.94,242.94,0.0,352.66
uniform-27-n7,287.87,287.87,0.0,464.61
uniform-28-n7,320.06,320.06,0.0,520.62
uniform-29-n7,335.33,335.33,0.0,580.55
uniform-3-n5,258.05,258.05,0.0,426.62
uniform-30-n7,238.89,238.89,0.0,471.34
uniform-31-n8,306.56,306.56,0.0,596.32
uniform-32-n8,255.85,255.85,0.0,321.47
uniform-33-n8,245.55,245.55,0.0,465.69
uniform-34-n8,331.25,330.42,0.0,328.98
uniform-35-n8,254.89,254.71,0.0,473.39
uniform-36-n8,330.6,330.6,0.0,400.46
uniform-37-n8,306.12,306.12,0.0,548.80
uniform-38-n8,333.95,333.95,0.0,561.02
uniform-39-n8,297.75,297.75,0.0,508.48
uniform-4-n5,222.94,224.59,0.0,358.13
uniform-40-n8,262.32,262.32,0.0,298.54
uniform-41-n9,360.84,360.84,0.0,402.09
uniform-42-n9,285.6,285.6,0.0,367.90
uniform-43-n9,305.75,305.75,0.0,485.45
uniform-44-n9,284.71,284.71,0.0,498.31
uniform-45-n9,322.98,322.98,0.0,439.02
uniform-46-n9,302.91,302.91,0.0,402.35
uniform-47-n9,349.99,349.99,0.0,476.28
uniform-48-n9,316.65,316.65,0.0,434.78
uniform-49-n9,228.5,228.5,0.0,237.95
uniform-5-n5,301.96,301.96,0.0,514.10
uniform-50-n9,324.47,324.47,0.0,367.64
uniform-6-n5,262.46,262.46,0.0,486.55
uniform-7-n5,291.8,291.8,0.0,472.85
uniform-8-n5,245.21,245.21,0.0,461.91
uniform-9-n5,232.43,232.43,0.0,359.34
uniform-alpha_1-1-n5,313.23,313.23,0.0,228.57
uniform-alpha_1-10-n5,276.29,276.29,0.0,221.48
uniform-alpha_1-11-n6,262.63,262.63,0.0,227.97
uniform-alpha_1-12-n6,332.32,332.32,0.0,280.83
uniform-alpha_1-13-n6,240.42,240.42,0.0,197.81
uniform-alpha_1-14-n6,239.08,239.08,0.0,170.98
uniform-alpha_1-15-n6,213.02,213.02,0.0,165.22
uniform-alpha_1-16-n6,272.92,272.92,0.0,350.20
uniform-alpha_1-17-n6,302.02,302.02,0.0,248.44
uniform-alpha_1-18-n6,238.25,238.14,0.0,230.39
uniform-alpha_1-19-n6,269.17,269.17,0.0,227.91
uniform-alpha_1-2-n5,261.48,261.48,0.0,238.84
uniform-alpha_1-20-n6,265.03,265.03,0.0,193.47
uniform-alpha_1-21-n7,270.69,270.69,0.0,344.38
uniform-alpha_1-22-n7,249.96,249.96,0.0,246.36
uniform-alpha_1-23-n7,277.2,277.2,0.0,276.40
uniform-alpha_1-24-n7,287.51,287.51,0.0,286.25
uniform-alpha_1-25-n7,291.35,291.35,0.0,446.02
uniform-alpha_1-26-n7,242.94,242.94,0.0,447.05
uniform-alpha_1-27-n7,287.87,287.87,0.0,241.74
uniform-alpha_1-28-n7,320.06,320.06,0.0,557.30
uniform-alpha_1-29-n7,335.33,335.33,0.0,281.91
uniform-alpha_1-3-n5,258.05,258.05,0.0,196.84
uniform-alpha_1-30-n7,238.89,238.89,0.0,383.36
uniform-alpha_1-31-n8,306.56,306.56,0.0,306.56
uniform-alpha_1-32-n8,255.85,255.85,0.0,363.93
uniform-alpha_1-33-n8,245.55,245.55,0.0,240.85
uniform-alpha_1-34-n8,331.25,330.42,0.0,404.54
uniform-alpha_1-35-n8,254.89,254.71,0.0,260.63
uniform-alpha_1-36-n8,330.6,330.6,0.0,448.08
uniform-alpha_1-37-n8,306.12,306.12,0.0,428.58
uniform-alpha_1-38-n8,333.95,333.95,0.0,377.44
uniform-alpha_1-39-n8,297.75,297.75,0.0,394.65
uniform-alpha_1-4-n5,222.94,224.59,0.0,191.51
uniform-alpha_1-40-n8,262.32,262.32,0.0,440.70
uniform-alpha_1-41-n9,360.84,360.84,0.0,481.75
uniform-alpha_1-42-n9,285.6,285.6,0.0,474.66
uniform-alpha_1-43-n9,305.75,305.75,0.0,363.69
uniform-alpha_1-44-n9,284.71,284.71,0.0,324.26
uniform-alpha_1-45-n9,322.98,322.98,0.0,501.32
uniform-alpha_1-46-n9,302.91,302.91,0.0,322.15
uniform-alpha_1-47-n9,349.99,349.99,0.0,395.17
uniform-alpha_1-48-n9,316.65,316.65,0.0,326.25
uniform-alpha_1-49-n9,228.5,228.5,0.0,273.30
uniform-alpha_1-5-n5,301.96,301.96,0.0,267.29
