Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
singlecenter-alpha_3-8-n5,152.82,78.75,0.00,61.55
singlecenter-alpha_3-9-n5,248.36,163.53,0.05,99.49
uniform-1-n5,313.23,158.65,0.04,158.65
uniform-10-n5,276.29,207.82,0.02,170.25
uniform-11-n6,262.63,219.07,0.02,171.70
uniform-12-n6,332.32,250.08,0.03,199.02
uniform-13-n6,240.42,173.97,0.04,150.11
uniform-14-n6,239.08,140.02,0.04,140.02
uniform-15-n6,213.02,162.82,0.00,133.33
uniform-16-n6,272.92,206.03,0.01,177.20
uniform-17-n6,302.02,201.67,0.00,182.58
uniform-18-n6,238.25,197.48,0.00,152.75
uniform-19-n6,269.17,187.32,0.00,169.68
uniform-2-n5,261.48,218.94,0.00,199.07
uniform-20-n6,265.03,149.09,0.00,146.45
uniform-21-n7,270.69,214.26,0.00,224.81
uniform-22-n7,249.96,217.97,0.00,219.56
uniform-23-n7,277.2,257.86,0.01,274.61
uniform-24-n7,287.51,230.28,0.00,278.26
uniform-25-n7,291.35,194.57,0.00,223.72
uniform-26-n7,242.94,220.8,0.00,230.69
uniform-27-n7,287.87,193.58,0.00,185.16
uniform-28-n7,320.06,275.35,0.00,252.40
uniform-29-n7,335.33,264.23,0.00,280.39
uniform-3-n5,258.05,177.26,0.00,163.41
uniform-30-n7,238.89,199.23,0.00,194.30
uniform-31-n8,306.56,253.09,0.04,294.94
uniform-32-n8,255.85,137.41,0.00,181.48
uniform-33-n8,245.55,222.55,0.01,241.78
uniform-34-n8,331.25,261.31,0.01,328.98
uniform-35-n8,254.89,223.93,0.01,249.54
uniform-36-n8,330.6,248.89,0.03,273.89
uniform-37-n8,306.12,221.45,0.02,270.68
uniform-38-n8,333.95,216.11,0.01,360.68
uniform-39-n8,297.75,247.16,0.01,274.52
uniform-4-n5,222.94,162.37,0.00,136.10
uniform-40-n8,262.32,197.61,0.00,298.54
uniform-41-n9,360.84,280.1,0.01,402.09
uniform-42-n9,285.6,222.3,0.02,367.90
uniform-43-n9,305.75,238.16,0.01,314.63
uniform-44-n9,284.71,213.22,0.02,334.75
uniform-45-n9,322.98,231.77,0.01,268.37
uniform-46-n9,302.91,239.52,0.00,317.14
uniform-47-n9,349.99,273.17,0.03,426.92
uniform-48-n9,316.65,246.78,0.01,433.77
uniform-49-n9,228.5,189.21,0.01,237.95
uniform-5-n5,301.96,237.24,0.00,237.24
uniform-50-n9,324.47,264.32,0.01,367.64
uniform-6-n5,262.46,233.97,0.00,198.76
uniform-7-n5,291.8,209.34,0.00,191.51
uniform-8-n5,245.21,210.76,0.01,154.27
uniform-9-n5,232.43,179.02,0.00,172.15
uniform-alpha_1-1-n5,313.23,228.57,0.00,228.57
uniform-alpha_1-10-n5,276.29,221.48,0.01,221.48
uniform-alpha_1-11-n6,262.63,227.97,0.01,227.97
uniform-alpha_1-12-n6,332.32,282.58,0.01,280.83
uniform-alpha_1-13-n6,240.42,197.81,0.00,197.81
uniform-alpha_1-14-n6,239.08,170.98,0.02,170.98
uniform-alpha_1-15-n6,213.02,165.22,0.00,165.22
uniform-alpha_1-16-n6,272.92,221.38,0.02,221.38
uniform-alpha_1-17-n6,302.02,252.83,0.00,248.44
uniform-alpha_1-18-n6,238.25,230.39,0.01,230.39
uniform-alpha_1-19-n6,269.17,227.91,0.00,227.91
uniform-alpha_1-2-n5,261.48,238.84,0.01,238.84
uniform-alpha_1-20-n6,265.03,193.47,0.05,193.47
uniform-alpha_1-21-n7,270.69,241.01,0.02,257.67
uniform-alpha_1-22-n7,249.96,233.27,0.02,246.36
uniform-alpha_1-23-n7,277.2,261.9,0.01,276.40
uniform-alpha_1-24-n7,287.51,257.59,0.01,286.25
uniform-alpha_1-25-n7,291.35,228.88,0.01,275.29
uniform-alpha_1-26-n7,242.94,227.51,0.02,236.63
uniform-alpha_1-27-n7,287.87,241.74,0.01,241.74
uniform-alpha_1-28-n7,320.06,287.54,0.01,308.39
uniform-alpha_1-29-n7,335.33,281.91,0.03,281.91
uniform-alpha_1-3-n5,258.05,196.84,0.00,196.84
uniform-alpha_1-30-n7,238.89,216.28,0.00,221.84
uniform-alpha_1-31-n8,306.56,279.15,0.00,306.56
uniform-alpha_1-32-n8,255.85,238.88,0.00,245.17
uniform-alpha_1-33-n8,245.55,231.93,0.01,240.85
uniform-alpha_1-34-n8,331.25,277.11,0.01,315.78
uniform-alpha_1-35-n8,254.89,234.83,0.02,260.63
uniform-alpha_1-36-n8,330.6,273.91,0.01,321.60
uniform-alpha_1-37-n8,306.12,260.55,0.01,285.95
uniform-alpha_1-38-n8,333.95,262.5,0.01,377.44
uniform-alpha_1-39-n8,297.75,264.83,0.01,284.27
uniform-alpha_1-4-n5,222.94,191.51,0.00,191.51
uniform-alpha_1-40-n8,262.32,229.42,0.01,315.98
uniform-alpha_1-41-n9,360.84,313.33,0.01,481.75
uniform-alpha_1-42-n9,285.6,244.89,0.01,366.43
uniform-alpha_1-43-n9,305.75,255.46,0.01,363.69
uniform-alpha_1-44-n9,284.71,239.15,0.01,324.26
uniform-alpha_1-45-n9,322.98,254.87,0.02,315.53
uniform-alpha_1-46-n9,302.91,266.09,0.01,322.15
uniform-alpha_1-47-n9,349.99,303.02,0.01,395.17
uniform-alpha_1-48-n9,316.65,275.29,0.01,326.25
uniform-alpha_1-49-n9,228.5,207.19,0.01,273.30
uniform-alpha_1-5-n5,301.96,267.29,0.00,267.29
uniform-alpha_1-50-n9,324.47,291.52,0.00,455.16
uniform-alpha_1-6-n5,262.46,243.42,0.00,243.42
uniform-alpha_1-7-n5,291.8,231.23,0.00,231.23
uniform-alpha_1-8-n5,245.21,216.29,0.00,216.29
uniform-alpha_1-9-n5,232.43,193.09,0.01,193.09
uniform-alpha_3-1-n5,313.23,158.65,0.00,158.65
