Nome Instancia,Solucao otima TSP,Solucao TSPD Grafo Aux,Tempo TSPD Grafo Aux,Solucao TSPD Paper
singlecenter-alpha_3-49-n9,506.41,370.58,0.00,426.03
singlecenter-alpha_3-5-n5,248.93,122.15,0.00,82.00
singlecenter-alpha_3-50-n9,367.1,204.03,0.00,261.14
singlecenter-alpha_3-6-n5,354.47,186.83,0.00,129.04
singlecenter-alpha_3-7-n5,227.21,135.14,0.00,130.11
singlecenter-alpha_3-8-n5,152.82,78.75,0.00,61.55
singlecenter-alpha_3-9-n5,248.36,99.49,0.00,99.49
uniform-1-n5,313.23,196.24,0.00,158.65
uniform-10-n5,276.29,181.5,0.00,170.25
uniform-11-n6,262.63,220.71,0.00,171.70
uniform-12-n6,332.32,250.08,0.00,199.02
uniform-13-n6,240.42,178.35,0.00,150.11
uniform-14-n6,239.08,141.27,0.00,140.02
uniform-15-n6,213.02,171.83,0.00,133.33
uniform-16-n6,272.92,189.12,0.00,177.20
uniform-17-n6,302.02,201.67,0.00,182.58
uniform-18-n6,238.25,157.32,0.00,152.75
uniform-19-n6,269.17,176.72,0.00,169.68
uniform-2-n5,261.48,199.07,0.00,199.07
uniform-20-n6,265.03,149.09,0.00,146.45
uniform-21-n7,270.69,208.9,0.00,224.81
uniform-22-n7,249.96,219.48,0.00,219.56
uniform-23-n7,277.2,219.53,0.00,274.61
uniform-24-n7,287.51,250.42,0.00,278.26
uniform-25-n7,291.35,223.81,0.00,223.72
uniform-26-n7,242.94,205.46,0.00,230.69
uniform-27-n7,287.87,189.09,0.00,185.16
uniform-28-n7,320.06,238.37,0.00,252.40
uniform-29-n7,335.33,262.71,0.00,280.39
uniform-3-n5,258.05,163.41,0.00,163.41
uniform-30-n7,238.89,198.07,0.00,194.30
uniform-31-n8,306.56,266.63,0.00,294.94
uniform-32-n8,255.85,146.66,0.00,181.48
uniform-33-n8,245.55,220.2,0.00,241.78
uniform-34-n8,331.25,224.11,0.00,328.98
uniform-35-n8,254.89,217.91,0.00,249.54
uniform-36-n8,330.6,257.88,0.00,273.89
uniform-37-n8,306.12,231.42,0.00,270.68
uniform-38-n8,333.95,223.09,0.00,360.68
uniform-39-n8,297.75,267.1,0.00,274.52
uniform-4-n5,222.94,136.1,0.00,136.10
uniform-40-n8,262.32,200.63,0.00,298.54
uniform-41-n9,360.84,277.63,0.00,402.09
uniform-42-n9,285.6,222.3,0.00,367.90
uniform-43-n9,305.75,238.16,0.00,314.63
uniform-44-n9,284.71,237.75,0.00,334.75
uniform-45-n9,322.98,258.11,0.00,268.37
uniform-46-n9,302.91,232.73,0.00,317.14
uniform-47-n9,349.99,274.34,0.00,426.92
uniform-48-n9,316.65,250.35,0.00,433.77
uniform-49-n9,228.5,200.39,0.00,237.95
uniform-5-n5,301.96,237.24,0.00,237.24
uniform-50-n9,324.47,261.74,0.00,367.64
uniform-6-n5,262.46,232.44,0.00,198.76
uniform-7-n5,291.8,191.51,0.00,191.51
uniform-8-n5,245.21,173.0,0.00,154.27
uniform-9-n5,232.43,172.15,0.00,172.15
uniform-alpha_1-1-n5,313.23,228.57,0.00,228.57
uniform-alpha_1-10-n5,276.29,221.48,0.00,221.48
uniform-alpha_1-11-n6,262.63,227.97,0.00,227.97
uniform-alpha_1-12-n6,332.32,299.81,0.00,280.83
uniform-alpha_1-13-n6,240.42,197.81,0.00,197.81
uniform-alpha_1-14-n6,239.08,170.98,0.00,170.98
uniform-alpha_1-15-n6,213.02,165.22,0.00,165.22
uniform-alpha_1-16-n6,272.92,249.42,0.00,221.38
uniform-alpha_1-17-n6,302.02,248.44,0.00,248.44
uniform-alpha_1-18-n6,238.25,230.39,0.00,230.39
uniform-alpha_1-19-n6,269.17,227.91,0.00,227.91
uniform-alpha_1-2-n5,261.48,238.84,0.00,238.84
uniform-alpha_1-20-n6,265.03,193.47,0.00,193.47
uniform-alpha_1-21-n7,270.69,241.01,0.00,257.67
uniform-alpha_1-22-n7,249.96,233.27,0.00,246.36
uniform-alpha_1-23-n7,277.2,261.72,0.00,276.40
uniform-alpha_1-24-n7,287.51,259.83,0.00,286.25
uniform-alpha_1-25-n7,291.35,228.88,0.00,275.29
uniform-alpha_1-26-n7,242.94,257.53,0.00,236.63
uniform-alpha_1-27-n7,287.87,241.74,0.00,241.74
uniform-alpha_1-28-n7,320.06,295.43,0.00,308.39
uniform-alpha_1-29-n7,335.33,298.36,0.00,281.91
uniform-alpha_1-3-n5,258.05,196.84,0.00,196.84
uniform-alpha_1-30-n7,238.89,222.51,0.00,221.84
uniform-alpha_1-31-n8,306.56,312.29,0.00,306.56
uniform-alpha_1-32-n8,255.85,238.88,0.00,245.17
uniform-alpha_1-33-n8,245.55,237.33,0.00,240.85
uniform-alpha_1-34-n8,331.25,284.54,0.00,315.78
uniform-alpha_1-35-n8,254.89,251.06,0.00,260.63
uniform-alpha_1-36-n8,330.6,273.91,0.00,321.60
uniform-alpha_1-37-n8,306.12,250.02,0.00,285.95
uniform-alpha_1-38-n8,333.95,248.25,0.00,377.44
uniform-alpha_1-39-n8,297.75,264.83,0.00,284.27
uniform-alpha_1-4-n5,222.94,191.51,0.00,191.51
uniform-alpha_1-40-n8,262.32,236.12,0.00,315.98
uniform-alpha_1-41-n9,360.84,309.96,0.00,481.75
uniform-alpha_1-42-n9,285.6,244.89,0.00,366.43
uniform-alpha_1-43-n9,305.75,245.42,0.00,363.69
uniform-alpha_1-44-n9,284.71,273.95,0.00,324.26
uniform-alpha_1-45-n9,322.98,256.53,0.00,315.53
uniform-alpha_1-46-n9,302.91,278.53,0.00,322.15
uniform-alpha_1-47-n9,349.99,297.61,0.00,395.17
uniform-alpha_1-48-n9,316.65,295.35,0.00,326.25
uniform-alpha_1-49-n9,228.5,206.03,0.00,273.30
uniform-alpha_1-5-n5,301.96,267.29,0.00,267.29
uniform-alpha_1-50-n9,324.47,291.52,0.00,455.16
uniform-alpha_1-6-n5,262.46,243.42,0.00,243.42
uniform-alpha_1-7-n5,291.8,231.23,0.00,231.23
uniform-alpha_1-8-n5,245.21,216.29,0.00,216.29
uniform-alpha_1-9-n5,232.43,193.09,0.00,193.09
uniform-alpha_3-1-n5,313.23,158.65,0.00,158.65
uniform-alpha_3-10-n5,276.29,207.82,0.00,181.50
uniform-alpha_3-11-n6,262.63,146.49,0.00,171.70
uniform-alpha_3-12-n6,332.32,161.57,0.00,190.77
uniform-alpha_3-13-n6,240.42,123.98,0.00,122.15
uniform-alpha_3-14-n6,239.08,138.72,0.00,140.02
uniform-alpha_3-15-n6,213.02,112.76,0.00,129.44
uniform-alpha_3-16-n6,272.92,136.86,0.00,176.14
uniform-alpha_3-17-n6,302.02,199.2,0.00,178.71
uniform-alpha_3-18-n6,238.25,145.29,0.00,148.81
uniform-alpha_3-19-n6,269.17,139.78,0.00,169.68
uniform-alpha_3-2-n5,261.48,226.57,0.00,187.25
uniform-alpha_3-20-n6,265.03,146.08,0.00,146.45
uniform-alpha_3-21-n7,270.69,208.9,0.00,208.35
uniform-alpha_3-22-n7,249.96,199.76,0.00,220.61
uniform-alpha_3-23-n7,277.2,219.53,0.00,230.21
uniform-alpha_3-24-n7,287.51,233.46,0.00,191.95
uniform-alpha_3-25-n7,291.35,217.29,0.00,232.96
uniform-alpha_3-26-n7,242.94,184.15,0.00,224.28
uniform-alpha_3-27-n7,287.87,185.85,0.00,190.45
uniform-alpha_3-28-n7,320.06,224.23,0.00,252.40
uniform-alpha_3-29-n7,335.33,245.92,0.00,238.19
uniform-alpha_3-3-n5,258.05,159.65,0.00,159.65
uniform-alpha_3-30-n7,238.89,171.43,0.00,202.20
uniform-alpha_3-31-n8,306.56,253.09,0.00,299.56
uniform-alpha_3-32-n8,255.85,120.03,0.00,125.19
uniform-alpha_3-33-n8,245.55,231.84,0.00,232.59
uniform-alpha_3-34-n8,331.25,220.35,0.00,282.86
uniform-alpha_3-35-n8,254.89,160.36,0.00,169.11
uniform-alpha_3-36-n8,330.6,209.01,0.00,280.24
uniform-alpha_3-37-n8,306.12,209.4,0.00,236.22
uniform-alpha_3-38-n8,333.95,178.69,0.00,220.10
uniform-alpha_3-39-n8,297.75,210.68,0.00,274.75
uniform-alpha_3-4-n5,222.94,136.1,0.00,136.10
uniform-alpha_3-40-n8,262.32,174.21,0.00,253.63
uniform-alpha_3-41-n9,360.84,281.39,0.00,440.66
uniform-alpha_3-42-n9,285.6,215.66,0.00,334.68
uniform-alpha_3-43-n9,305.75,186.95,0.00,306.16
uniform-alpha_3-44-n9,284.71,201.75,0.00,299.03
uniform-alpha_3-45-n9,322.98,232.42,0.00,313.82
uniform-alpha_3-46-n9,302.91,224.4,0.00,300.11
uniform-alpha_3-47-n9,349.99,257.99,0.00,400.87
uniform-alpha_3-48-n9,316.65,300.56,0.00,303.18
uniform-alpha_3-49-n9,228.5,174.45,0.00,325.53
uniform-alpha_3-5-n5,301.96,237.24,0.00,237.24
uniform-alpha_3-50-n9,324.47,263.86,0.00,386.89
uniform-alpha_3-6-n5,262.46,198.76,0.00,175.39
uniform-alpha_3-7-n5,291.8,191.29,0.00,191.29
uniform-alpha_3-8-n5,245.21,173.0,0.00,154.63
uniform-alpha_3-9-n5,232.43,172.15,0.00,157.02
