Nome Instancia,Qtd Vertices,Solucao otima TSP,Solucao TSPD Spikes +  Grafo Aux ,Tempo TSPD Spikes + Grafo Aux,Solucao TSPD Paper
singlecenter-37-n8,8,268.19,177.52,0,190.57
singlecenter-38-n8,8,508.21,343.33,0,464.79
singlecenter-39-n8,8,343.29,204.14,0,233.07
singlecenter-40-n8,8,375.52,239.96,0,243.88
singlecenter-alpha_1-31-n8,8,262.5,227.31,0,223.86
singlecenter-alpha_1-32-n8,8,186.44,171.97,0,179.07
singlecenter-alpha_1-33-n8,8,354.38,252.41,0,291.58
singlecenter-alpha_1-34-n8,8,410.44,322.66,0,423.43
singlecenter-alpha_1-35-n8,8,338.05,312.79,0,368.82
singlecenter-alpha_1-36-n8,8,394.59,255.92,0,311.33
singlecenter-alpha_1-37-n8,8,268.19,240.52,0,298.48
singlecenter-alpha_1-38-n8,8,508.21,476.15,0,515.28
singlecenter-alpha_1-39-n8,8,343.29,286.05,0,355.84
singlecenter-alpha_1-40-n8,8,375.52,307.48,0,326.4
singlecenter-alpha_3-31-n8,8,262.5,172.01,0,186.34
singlecenter-alpha_3-32-n8,8,186.44,111.48,0,118.11
singlecenter-alpha_3-33-n8,8,354.38,162.32,0,183.1
singlecenter-alpha_3-34-n8,8,410.44,246.04,0,290.89
singlecenter-alpha_3-35-n8,8,338.05,192.37,0,217.4
singlecenter-alpha_3-36-n8,8,394.59,150.27,0,157.57
singlecenter-alpha_3-37-n8,8,268.19,156.38,0,142.56
singlecenter-alpha_3-38-n8,8,508.21,323.3,0,449.38
singlecenter-alpha_3-39-n8,8,343.29,154.97,0,208.77
singlecenter-alpha_3-40-n8,8,375.52,236.01,0,303.28
uniform-31-n8,8,306.56,264.51,0,294.94
uniform-32-n8,8,255.85,148.78,0,181.48
uniform-33-n8,8,245.55,227.21,0,241.78
uniform-34-n8,8,331.25,266.99,0,328.98
uniform-35-n8,8,254.89,189.94,0,249.54
uniform-36-n8,8,330.6,241.46,0,273.89
uniform-37-n8,8,306.12,226.16,0,270.68
uniform-38-n8,8,333.95,204.63,0,360.68
uniform-39-n8,8,297.75,226.11,0,274.52
uniform-40-n8,8,262.32,229.29,0,298.54
uniform-alpha_1-31-n8,8,306.56,333.15,0,306.56
uniform-alpha_1-32-n8,8,255.85,238.88,0,245.17
uniform-alpha_1-33-n8,8,245.55,248.41,0,240.85
uniform-alpha_1-34-n8,8,331.25,294.64,0,315.78
uniform-alpha_1-35-n8,8,254.89,249.24,0,260.63
uniform-alpha_1-36-n8,8,330.6,315.28,0,321.6
uniform-alpha_1-37-n8,8,306.12,250.85,0,285.95
uniform-alpha_1-38-n8,8,333.95,259.3,0,377.44
uniform-alpha_1-39-n8,8,297.75,309.72,0,284.27
uniform-alpha_1-40-n8,8,262.32,288.3,0,315.98
uniform-alpha_3-31-n8,8,306.56,264.51,0,299.56
uniform-alpha_3-32-n8,8,255.85,122.79,0,125.19
uniform-alpha_3-33-n8,8,245.55,218.51,0,232.59
uniform-alpha_3-34-n8,8,331.25,235.56,0,282.86
uniform-alpha_3-35-n8,8,254.89,143.43,0,169.11
uniform-alpha_3-36-n8,8,330.6,225.88,0,280.24
uniform-alpha_3-37-n8,8,306.12,226.16,0,236.22
uniform-alpha_3-38-n8,8,333.95,192.79,0,220.1
uniform-alpha_3-39-n8,8,297.75,210.68,0,274.75
uniform-alpha_3-40-n8,8,262.32,218.6,0,253.63
doublecenter-41-n9,9,832.91,752.94,0,918.75
doublecenter-42-n9,9,815.54,539.79,0,844.8
doublecenter-43-n9,9,614.56,525.14,0,632.48
doublecenter-44-n9,9,820.72,714.53,0,805.52
doublecenter-45-n9,9,566.44,510.15,0,622.63
doublecenter-46-n9,9,573.93,504.65,0,633.07
doublecenter-47-n9,9,725.29,670.02,0,776.13
doublecenter-48-n9,9,526.73,439.22,0,554.6
doublecenter-49-n9,9,453.4,346.41,0,236.91
doublecenter-50-n9,9,596.38,482.81,0,745.56
doublecenter-alpha_1-41-n9,9,832.91,886.11,0,1083.25
doublecenter-alpha_1-42-n9,9,815.54,768.65,0,906.94
doublecenter-alpha_1-43-n9,9,614.56,581.48,0,636.05
doublecenter-alpha_1-44-n9,9,820.72,747.22,0,919.86
doublecenter-alpha_1-45-n9,9,566.44,558.86,0,606.51
doublecenter-alpha_1-46-n9,9,573.93,538.29,0,564.83
doublecenter-alpha_1-47-n9,9,725.29,708.68,0.01,731.16
doublecenter-alpha_1-48-n9,9,526.73,494.81,0,560.13
doublecenter-alpha_1-49-n9,9,453.4,414.32,0,493.28
doublecenter-alpha_1-50-n9,9,596.38,525.05,0,675.76
doublecenter-alpha_3-41-n9,9,832.91,679.68,0,955.22
doublecenter-alpha_3-42-n9,9,815.54,515.41,0,926.67
doublecenter-alpha_3-43-n9,9,614.56,518.84,0,534.2
