Nome Instancia,Qtd Vertices,Solucao otima TSP,Solucao TSPD GRASP-VND +  Grafo Aux,Tempo TSPD GRASP-VND + Grafo Aux,Solucao TSPD Paper
doublecenter-alpha_1-37-n8,8,491.17,422.81,0,472.59
doublecenter-alpha_1-38-n8,8,719.56,613.83,0.01,733.24
doublecenter-alpha_1-39-n8,8,792.64,664.79,0,769.95
doublecenter-alpha_1-40-n8,8,603.65,588.02,0,620.53
doublecenter-alpha_3-31-n8,8,672.59,442.21,0.01,348.61
doublecenter-alpha_3-32-n8,8,635.89,454.31,0,521.48
doublecenter-alpha_3-33-n8,8,605.73,432.73,0,510.48
doublecenter-alpha_3-34-n8,8,940.09,400.12,0,439.71
doublecenter-alpha_3-35-n8,8,616.59,424.62,0,514.43
doublecenter-alpha_3-36-n8,8,749.87,396.13,0,456.15
doublecenter-alpha_3-37-n8,8,491.17,321.52,0,360.62
doublecenter-alpha_3-38-n8,8,719.56,538.06,0.01,496.08
doublecenter-alpha_3-39-n8,8,792.64,552.15,0,539.69
doublecenter-alpha_3-40-n8,8,603.65,458.51,0,388.87
singlecenter-31-n8,8,262.5,171.86,0,204.35
singlecenter-32-n8,8,186.44,129.03,0,151.59
singlecenter-33-n8,8,354.38,124.94,0,197.86
singlecenter-34-n8,8,410.44,238.35,0,287.02
singlecenter-35-n8,8,338.05,56.94,0,338.05
singlecenter-36-n8,8,394.59,186.66,0,222.65
singlecenter-37-n8,8,268.19,87.36,0,190.57
singlecenter-38-n8,8,508.21,256.71,0,464.79
singlecenter-39-n8,8,343.29,195.19,0.01,233.07
singlecenter-40-n8,8,375.52,234.67,0,243.88
singlecenter-alpha_1-31-n8,8,262.5,197.53,0,223.86
singlecenter-alpha_1-32-n8,8,186.44,145.8,0,179.07
singlecenter-alpha_1-33-n8,8,354.38,249.89,0,291.58
singlecenter-alpha_1-34-n8,8,410.44,313.53,0,423.43
singlecenter-alpha_1-35-n8,8,338.05,113.89,0,368.82
singlecenter-alpha_1-36-n8,8,394.59,225.22,0,311.33
singlecenter-alpha_1-37-n8,8,268.19,174.71,0,298.48
singlecenter-alpha_1-38-n8,8,508.21,414.47,0,515.28
singlecenter-alpha_1-39-n8,8,343.29,286.05,0.01,355.84
singlecenter-alpha_1-40-n8,8,375.52,280.3,0,326.4
singlecenter-alpha_3-31-n8,8,262.5,171.86,0.01,186.34
singlecenter-alpha_3-32-n8,8,186.44,129.03,0,118.11
singlecenter-alpha_3-33-n8,8,354.38,83.3,0,183.1
singlecenter-alpha_3-34-n8,8,410.44,223.62,0,290.89
singlecenter-alpha_3-35-n8,8,338.05,37.96,0,217.4
singlecenter-alpha_3-36-n8,8,394.59,132.14,0,157.57
singlecenter-alpha_3-37-n8,8,268.19,65.68,0,142.56
singlecenter-alpha_3-38-n8,8,508.21,224.69,0,449.38
singlecenter-alpha_3-39-n8,8,343.29,195,0.01,208.77
singlecenter-alpha_3-40-n8,8,375.52,234.67,0,303.28
uniform-31-n8,8,306.56,212.05,0,294.94
uniform-32-n8,8,255.85,119.92,0,181.48
uniform-33-n8,8,245.55,222.55,0.01,241.78
uniform-34-n8,8,331.25,261.31,0,328.98
uniform-35-n8,8,254.89,205.03,0.01,249.54
uniform-36-n8,8,330.6,126.57,0,273.89
uniform-37-n8,8,306.12,220.41,0,270.68
uniform-38-n8,8,333.95,191.56,0,360.68
uniform-39-n8,8,297.75,247.16,0.01,274.52
uniform-40-n8,8,262.32,196.56,0,298.54
uniform-alpha_1-31-n8,8,306.56,278.93,0,306.56
uniform-alpha_1-32-n8,8,255.85,238.88,0,245.17
uniform-alpha_1-33-n8,8,245.55,231.93,0,240.85
uniform-alpha_1-34-n8,8,331.25,277.11,0,315.78
uniform-alpha_1-35-n8,8,254.89,215.3,0,260.63
uniform-alpha_1-36-n8,8,330.6,179.89,0,321.6
uniform-alpha_1-37-n8,8,306.12,259.57,0,285.95
uniform-alpha_1-38-n8,8,333.95,248.21,0,377.44
uniform-alpha_1-39-n8,8,297.75,264.83,0,284.27
uniform-alpha_1-40-n8,8,262.32,228.37,0,315.98
uniform-alpha_3-31-n8,8,306.56,252.86,0,299.56
uniform-alpha_3-32-n8,8,255.85,127.03,0,125.19
uniform-alpha_3-33-n8,8,245.55,222.3,0.01,232.59
uniform-alpha_3-34-n8,8,331.25,261.31,0,282.86
uniform-alpha_3-35-n8,8,254.89,205.03,0.01,169.11
uniform-alpha_3-36-n8,8,330.6,126.57,0,280.24
uniform-alpha_3-37-n8,8,306.12,220.41,0,236.22
uniform-alpha_3-38-n8,8,333.95,178.41,0,220.1
uniform-alpha_3-39-n8,8,297.75,247.16,0,274.75
uniform-alpha_3-40-n8,8,262.32,196.56,0,253.63
doublecenter-41-n9,9,832.91,653.84,0,918.75
doublecenter-42-n9,9,815.54,495.5,0,844.8
doublecenter-43-n9,9,614.56,497.28,0,632.48
doublecenter-44-n9,9,820.72,453.58,0.01,805.52
doublecenter-45-n9,9,566.44,469.93,0,622.63
doublecenter-46-n9,9,573.93,463.2,0,633.07
doublecenter-47-n9,9,725.29,628.31,0,776.13
doublecenter-48-n9,9,526.73,310.26,0,554.6
doublecenter-49-n9,9,453.4,155.01,0.01,236.91
doublecenter-50-n9,9,596.38,476.67,0,745.56
doublecenter-alpha_1-41-n9,9,832.91,723.84,0,1083.25
doublecenter-alpha_1-42-n9,9,815.54,498.11,0,906.94
doublecenter-alpha_1-43-n9,9,614.56,546.63,0,636.05
doublecenter-alpha_1-44-n9,9,820.72,583.91,0,919.86
doublecenter-alpha_1-45-n9,9,566.44,493.69,0,606.51
doublecenter-alpha_1-46-n9,9,573.93,470.7,0,564.83
doublecenter-alpha_1-47-n9,9,725.29,649.32,0,731.16
doublecenter-alpha_1-48-n9,9,526.73,408.46,0.01,560.13
doublecenter-alpha_1-49-n9,9,453.4,322.35,0,493.28
doublecenter-alpha_1-50-n9,9,596.38,512.16,0,675.76
doublecenter-alpha_3-41-n9,9,832.91,653.84,0.01,955.22
doublecenter-alpha_3-42-n9,9,815.54,456.38,0,926.67
doublecenter-alpha_3-43-n9,9,614.56,512.47,0.01,534.2
doublecenter-alpha_3-44-n9,9,820.72,453.58,0,1296.48
doublecenter-alpha_3-45-n9,9,566.44,469.93,0,550.04
doublecenter-alpha_3-46-n9,9,573.93,463.2,0,592.09
doublecenter-alpha_3-47-n9,9,725.29,628.31,0.01,687
doublecenter-alpha_3-48-n9,9,526.73,310.26,0.01,471.77
doublecenter-alpha_3-49-n9,9,453.4,144.23,0,564.76
doublecenter-alpha_3-50-n9,9,596.38,476.67,0,642.1
singlecenter-41-n9,9,237.83,115.2,0,209.61
singlecenter-42-n9,9,566.41,203.25,0,680.91
singlecenter-43-n9,9,355.44,245.4,0,552.01
singlecenter-44-n9,9,368.25,279.8,0,379.87
singlecenter-45-n9,9,410.12,294.94,0.01,440.95
singlecenter-46-n9,9,384.39,213.73,0,262.28
singlecenter-47-n9,9,472,355.38,0.01,534.93
singlecenter-48-n9,9,361.17,203.94,0,239.15
singlecenter-49-n9,9,506.41,243.76,0.01,504
singlecenter-50-n9,9,367.1,167.37,0,374.26
singlecenter-alpha_1-41-n9,9,237.83,165.65,0,296.18
singlecenter-alpha_1-42-n9,9,566.41,406.51,0,670.48
singlecenter-alpha_1-43-n9,9,355.44,269.13,0,341.83
singlecenter-alpha_1-44-n9,9,368.25,315.13,0,391.88
singlecenter-alpha_1-45-n9,9,410.12,303.29,0,390.34
singlecenter-alpha_1-46-n9,9,384.39,269.8,0,415.55
singlecenter-alpha_1-47-n9,9,472,376.06,0.01,581.57
singlecenter-alpha_1-48-n9,9,361.17,251.96,0,343.13
singlecenter-alpha_1-49-n9,9,506.41,300.98,0.01,588.71
singlecenter-alpha_1-50-n9,9,367.1,253.67,0,376.81
singlecenter-alpha_3-41-n9,9,237.83,110.58,0,275.12
singlecenter-alpha_3-42-n9,9,566.41,135.5,0,521.36
singlecenter-alpha_3-43-n9,9,355.44,245.4,0,374.33
singlecenter-alpha_3-44-n9,9,368.25,279.8,0,321.76
singlecenter-alpha_3-45-n9,9,410.12,294.94,0.01,438.23
singlecenter-alpha_3-46-n9,9,384.39,198.15,0,267.77
singlecenter-alpha_3-47-n9,9,472,340.35,0.01,485.97
singlecenter-alpha_3-48-n9,9,361.17,143.94,0.01,378.67
singlecenter-alpha_3-49-n9,9,506.41,243.76,0.01,426.03
singlecenter-alpha_3-50-n9,9,367.1,161.67,0,261.14
uniform-41-n9,9,360.84,280.1,0.01,402.09
uniform-42-n9,9,285.6,222.3,0,367.9
uniform-43-n9,9,305.75,238.16,0,314.63
uniform-44-n9,9,284.71,113.15,0.01,334.75
uniform-45-n9,9,322.98,227.94,0,268.37
uniform-46-n9,9,302.91,238.96,0,317.14
uniform-47-n9,9,349.99,273.17,0,426.92
uniform-48-n9,9,316.65,240.81,0,433.77
uniform-49-n9,9,228.5,189.05,0,237.95
uniform-50-n9,9,324.47,137.61,0,367.64
uniform-alpha_1-41-n9,9,360.84,313.33,0.01,481.75
uniform-alpha_1-42-n9,9,285.6,244.89,0,366.43
uniform-alpha_1-43-n9,9,305.75,255.23,0,363.69
uniform-alpha_1-44-n9,9,284.71,171.57,0,324.26
uniform-alpha_1-45-n9,9,322.98,137.07,0.01,315.53
uniform-alpha_1-46-n9,9,302.91,266.09,0,322.15
uniform-alpha_1-47-n9,9,349.99,297.16,0,395.17
uniform-alpha_1-48-n9,9,316.65,270.6,0.01,326.25
uniform-alpha_1-49-n9,9,228.5,206.82,0,273.3
uniform-alpha_1-50-n9,9,324.47,160.01,0,455.16
uniform-alpha_3-41-n9,9,360.84,280.1,0.01,440.66
uniform-alpha_3-42-n9,9,285.6,222.3,0,334.68
uniform-alpha_3-43-n9,9,305.75,238.16,0,306.16
uniform-alpha_3-44-n9,9,284.71,113.15,0.01,299.03
uniform-alpha_3-45-n9,9,322.98,127.92,0,313.82
uniform-alpha_3-46-n9,9,302.91,238.96,0.01,300.11
uniform-alpha_3-47-n9,9,349.99,273.17,0,400.87
